family,species,Mass (g),Tannin %,Fiber %,Elevation,Forest,Soil
Leguminosae,Dalbergia_mimosoides,0.032863333,0.903,24.7,high,Dry,Mean
Leguminosae,Dalbergia_obtusifolia,0.034716667,1.497,15.87,low,Dry,Poor
Leguminosae,Dalbergia_rimosa,0.07832,0.921,6.64,mid,Dry,Mean
Leguminosae,Derris_robusta,0.019756667,0.83,20.27,high,Dry,Rich
Leguminosae,Desmodium_sequax,0.0016288,2.323,23.16,high,Wet,Rich
Leguminosae,Dumasia_villosa,0.04175,0.193,19.76,high,Dry,Mean
Leguminosae,Mucuna_pruriens,4.610525,0.626,19.06,high,Wet,Mean
Leguminosae,Ormosia_olivacea,2.839433333,0.149,6.09,high,Dry,Mean
Leguminosae,Phyllodium_longipes,0.00489,1.765,24.12,high,Dry,Mean
Leguminosae,Priotropis_cytisoides,0.016686667,0.198,51.58,high,Dry,Mean
Leguminosae ,Dalbergia_assamica,0.02134,1.934,11.56,high,Dry,Poor
Leguminosae ,Ormosia_cambodiana,6.8942375,0.404,12.13,low,Wet,Poor
Liliaceae,Dracaena_cochinchinensis,0.158853333,0.163,16.03,mid,Dry,Poor
Lythraceae,Duabanga_grandiflora,0.0000404,0.142,50.98,mid,Dry,Rich
Lythraceae,Lawsonia_inermis,0.0010044,5.174,50.65,mid,Dry,Poor
Magnoliaceae,Kadsura_coccinea,0.385836667,0.221,35.79,mid,Dry,Mean
Malpighiaceae,Aspidopterys_glabriuscula,0.01691,0.672,14.06,high,Dry,Rich
Malvaceae,Kydia_calycina,0.0029572,0.106,43.4,low,Dry,Rich
Malvaceae ,Sida_alnifolia,0.00302,0.337,33.28,mid,Dry,Rich
Melastomataceae,Melastoma_affine,0.00004,5.267,47.34,low,Dry,Mean
Melastomataceae,Memecylon_polyanthum,0.053996667,12.401,18.88,low,Wet,Rich
Melastomataceae,Osbeckia_nepalensis,0.0000244,11.238,24.56,low,Wet,Mean
Melastomataceae,Oxyspora_paniculata,0.0000128,8.36,30.8,low,Wet,Poor
Meliaceae,Cipadessa_cinerascens,0.006,0.596,38.56,high,Wet,Poor
Meliaceae,Khaya_senegalensis,0.163806667,0.136,23.44,high,Wet,Rich
Meliaceae,Walsura_robusta,0.54128,0.122,11.1,high,Dry,Poor
Meliaceae,Amoora_ouangliensis,0.79898,0.363,13.35,low,Dry,Poor
Menispermaceae,Pericampylus_glaucus,0.006793333,20.516,12.75,mid,Dry,Poor
Moraceae,Ficus_auriculata,0.000256,0.047,66.01,mid,Dry,Poor
Moraceae,Ficus_fistulosa,0.0001436,0.117,58.52,high,Dry,Mean
Moraceae,Ficus_hispida,0.000212,0.228,50.65,low,Dry,Mean
Moraceae,Ficus_oligodon,0.0002044,0.29,61.17,mid,Dry,Poor
Moraceae,Ficus_pubigera,0.0097,0.069,45.58,high,Dry,Mean
Moraceae,Ficus_racemosa,0.0001056,0.073,34.28,mid,Wet,Rich
Moraceae,Ficus_semicordata,0.000422,0.114,22.56,mid,Wet,Mean
Myristicaceae,Horsfieldia_pandurifolia,4.258018182,0.046,30.81,high,Wet,Poor
Myristicaceae,Knema_furfuracea,2.649753333,2.331,73.72,low,Wet,Rich
Myristicaceae,Knema_linifolia,1.933723333,1.553,22.12,mid,Wet,Mean
Myristicaceae,Myristica_fragrans,9.08458,0.321,17.26,high,Wet,Mean
