liz_ID,Site,context,svl.mm,crest_pres,area_under_crest,max_tail_height,base_to_crest_end
KMW_129,Mayaguez,natural,66,0,0.405633333,0.295833333,1.940866667
KMW_130,Mayaguez,natural,66,B,0.4176,0.289566667,1.998266667
KMW_132,Mayaguez,natural,61,B,0.365233333,0.270766667,1.823966667
KMW_133,Mayaguez,natural,65,0,NA,0.256,NA
KMW_134,Mayaguez,natural,62,1,0.414833333,0.279566667,1.8142
KMW_135,Mayaguez,natural,64,0,NA,0.262066667,NA
KMW_137,Mayaguez,natural,63,1,0.429066667,0.314733333,1.699366667
KMW_138,Mayaguez,natural,62,1,0.4517,0.292666667,1.9294
KMW_139,Mayaguez,natural,66,B,0.398033333,0.285266667,1.8658
KMW_140,Mayaguez,natural,63,B,0.357433333,0.245366667,1.7733
KMW_141,Mayaguez,natural,64,0,0.3448,0.2665,1.731533333
KMW_142,Mayaguez,natural,63,0,0.346433333,0.253666667,1.843733333
KMW_144,Mayaguez,natural,62,0,NA,0.2731,NA
KMW_146,Mayaguez,natural,62,B,NA,0.271866667,NA
KMW_147,Mayaguez,natural,62,1,0.411433333,0.2811,1.898966667
KMW_148,Mayaguez,natural,56,0,NA,0.213866667,NA
KMW_149,Mayaguez,natural,59,0,0.280333333,0.236433333,1.512133333
KMW_151,Mayaguez,natural,55,0,NA,0.204833333,NA
KMW_153,Mayaguez,natural,63,B,0.391133333,0.290633333,1.756
KMW_154,Mayaguez,natural,64,B,0.427,0.295633333,1.903633333
KMW_157,Mayaguez,natural,65,0,NA,0.247933333,NA
KMW_158,Mayaguez,natural,63,0,0.275666667,0.226933333,1.633233333
KMW_159,Mayaguez,natural,65,B,0.360233333,0.264866667,1.809033333
KMW_160,Mayaguez,natural,58,1,0.399666667,0.323166667,1.573233333
KMW_161,Mayaguez,natural,58,1,0.359466667,0.2663,1.720566667
KMW_162,Mayaguez,natural,60,B,0.345433333,0.254233333,1.776766667
KMW_163,Mayaguez,natural,68,0,NA,0.2553,NA
KMW_165,Mayaguez,natural,63,0,0.323466667,0.250933333,1.759233333
KMW_167,Mayaguez,urban,66,0,0.479433333,0.322366667,2.079466667
KMW_168,Mayaguez,urban,61,0,NA,0.234033333,NA
KMW_169,Mayaguez,urban,60,0,NA,0.223066667,NA
KMW_170,Mayaguez,urban,65,B,0.467666667,0.299,2.136333333
KMW_172,Mayaguez,urban,64,0,NA,0.261466667,NA
KMW_173,Mayaguez,urban,63,1,0.410633333,0.309233333,1.7576
KMW_174,Mayaguez,urban,65,1,0.440966667,0.284566667,1.8862
KMW_176,Mayaguez,urban,70,1,0.513133333,0.332666667,2.066766667
KMW_177,Mayaguez,urban,64,0,NA,0.265433333,NA
KMW_178,Mayaguez,urban,68,0,NA,0.3025,NA
KMW_180,Mayaguez,urban,54,0,NA,0.228733333,NA
KMW_181,Mayaguez,urban,63,0,NA,0.3019,NA
KMW_182,Mayaguez,urban,63,1,0.502633333,0.299666667,2.073233333
KMW_183,Mayaguez,urban,67,B,0.4688,0.2966,2.229633333
KMW_184,Mayaguez,urban,63,1,0.522366667,0.327133333,2.101266667
KMW_185,Mayaguez,urban,62,B,0.338633333,0.254433333,1.723
KMW_188,Mayaguez,urban,67,0,0.4253,0.270233333,2.210366667
KMW_190,Mayaguez,urban,62,0,0.354633333,0.2606,1.770933333
KMW_191,Mayaguez,urban,56,0,NA,0.198733333,NA
KMW_193,Mayaguez,urban,62,0,NA,0.2916,NA
KMW_194,Mayaguez,urban,62,B,0.359733333,0.2738,1.6397
KMW_196,Mayaguez,urban,64,0,NA,0.2844,NA
KMW_197,Mayaguez,urban,68,0,NA,0.276233333,NA
KMW_198,Mayaguez,urban,68,1,0.473066667,0.310233333,1.907133333
KMW_199,Mayaguez,urban,55,0,NA,0.220133333,NA
KMW_200,Mayaguez,urban,69,0,0.41,0.312633333,1.881233333
KMW_201,Mayaguez,urban,71,B,0.472833333,0.309633333,1.973466667
KMW_204,Mayaguez,urban,58,B,0.295533333,0.226866667,1.593066667
KMW_206,Mayaguez,urban,66,0,0.528766667,0.314533333,2.211233333
KMW_207,Mayaguez,urban,50,0,NA,0.178866667,NA
KMW_208,Mayaguez,urban,62,0,0.433733333,0.297133333,1.9391
KMW_210,Mayaguez,urban,62,B,0.3431,0.284266667,1.6332
KMW_211,Mayaguez,urban,62,0,NA,0.2758,NA
KMW_212,Mayaguez,urban,63,B,0.3872,0.2848,1.786833333
KMW_213,Mayaguez,urban,63,B,0.396566667,0.267266667,1.981266667
KMW_215,Mayaguez,urban,59,B,0.310466667,0.253366667,1.608466667
KMW_218,Mayaguez,urban,65,0,NA,0.299633333,NA
KMW_219,Mayaguez,urban,52,0,NA,0.1887,NA
KMW_220,Mayaguez,urban,65,1,0.5296,0.345066667,2.031033333
KMW_221,Mayaguez,urban,66,1,0.3602,0.2543,1.809466667
KMW_223,Ponce,urban,64,1,0.769166667,0.443033333,2.097766667
KMW_227,Ponce,urban,66,1,0.6167,0.377566667,2.017166667
KMW_230,Ponce,urban,68,1,0.560033333,0.354266667,1.9671
KMW_231,Ponce,urban,58,B,0.291966667,0.225033333,1.623033333
KMW_232,Ponce,urban,60,0,NA,0.228133333,NA
KMW_235,Ponce,urban,66,1,1.039666667,0.6142,2.1337
KMW_236,Ponce,urban,66,1,0.842833333,0.4808,2.0263
KMW_237,Ponce,urban,74,1,0.5352,0.334633333,2.292766667
KMW_238,Ponce,urban,62,1,0.6655,0.445966667,1.978433333
KMW_239,Ponce,urban,61,1,0.344133333,0.255666667,1.616266667
KMW_242,Ponce,urban,60,1,0.510866667,0.353333333,1.725866667
KMW_243,Ponce,urban,66,1,0.725966667,0.410366667,2.150966667
KMW_244,Ponce,urban,65,1,0.568766667,0.3678,1.910566667
KMW_246,Ponce,urban,68,1,0.701966667,0.432233333,2.0851
KMW_248,Ponce,urban,68,1,0.802266667,0.458333333,2.2481
KMW_249,Ponce,urban,64,1,0.642233333,0.417066667,2.038133333
KMW_251,Ponce,urban,63,1,0.525466667,0.364066667,1.7839
KMW_252,Ponce,urban,61,0,NA,0.229033333,NA
KMW_253,Ponce,urban,67,0,0.486466667,0.294266667,2.213566667
KMW_254,Ponce,urban,55,0,NA,0.193933333,NA
KMW_256,Ponce,urban,59,0,NA,0.219566667,NA
KMW_261,Ponce,urban,67,1,0.656733333,0.4301,2.125133333
KMW_262,Ponce,urban,68,1,0.707133333,0.409366667,2.238066667
